AssistantIntent	activate	ActivateAssistantIntent
BooksEntity	audiobook	AudiobookEntity
BooksEntity	book	BookEntity
BooksEntity	settings	BookSettingsEntity
BooksEnum	contentType	BookContentType
BooksEnum	font	BookFont
BooksEnum	fontSize	BookFontSize
BooksEnum	navigationDirection	BookNavigationDirection
BooksEnum	pageNavigationSetting	BookPageNavigationSetting
BooksEnum	relativeCharacterSpacingChange	BookRelativeCharacterSpacingChange
BooksEnum	relativeFontChange	BookRelativeFontChange
BooksEnum	relativeLineSpacingChange	BookRelativeLineSpacingChange
BooksEnum	relativeWordSpacingChange	BookRelativeWordSpacingChange
BooksEnum	theme	BookTheme
BooksIntent	navigatePage	NavigateBookPageIntent
BooksIntent	openBook	OpenBookIntent
BooksIntent	playAudiobook	PlayAudiobookIntent
BooksIntent	search	SearchLibraryIntent
BooksIntent	updateCharacterSpacing	UpdateCharacterSpacingIntent
BooksIntent	updateFontSize	UpdateBookFontSizeIntent
BooksIntent	updateLineSpacing	UpdateBookLineSpacingIntent
BooksIntent	updateSettings	UpdateBookSettingsIntent
BooksIntent	updateWordSpacing	UpdateWordSpacingIntent
BrowserEntity	bookmark	BookmarkEntity
BrowserEntity	tab	TabEntity
BrowserEntity	window	WindowEntity
BrowserEnum	clearHistoryTimeFrame	ClearHistoryTimeFrameEnum
BrowserIntent	bookmarkTab	BookmarkTabIntent
BrowserIntent	bookmarkURL	BookmarkURLIntent
BrowserIntent	clearHistory	ClearHistoryIntent
BrowserIntent	closeTabs	CloseTabsIntent
BrowserIntent	closeWindows	CloseWindowsIntent
BrowserIntent	createTab	CreateTabIntent
BrowserIntent	createWindow	CreateWindowIntent
BrowserIntent	deleteBookmarks	DeleteBookmarksIntent
BrowserIntent	findOnPage	FindOnPageIntent
BrowserIntent	openBookmark	OpenBookmarkIntent
BrowserIntent	openURLInTab	LoadURLInTabIntent
BrowserIntent	search	SearchWebIntent
BrowserIntent	switchTab	SwitchToTabIntent
CameraEnum	captureDevice	CaptureDevice
CameraEnum	captureDuration	CaptureDuration
CameraEnum	captureMode	CaptureMode
CameraIntent	openInCaptureMode	NavigateToCaptureModeIntent
CameraIntent	setDevice	SetActiveDeviceIntent
CameraIntent	startCapture	StartCameraCaptureIntent
CameraIntent	stopCapture	StopCaptureIntent
CameraIntent	switchDevice	FlipCameraIntent
FilesEntity	file	FileEntity
FilesIntent	createFolder	CreateFolderIntent
FilesIntent	deleteFiles	DeleteFilesIntent
FilesIntent	moveFiles	MoveFilesIntent
FilesIntent	openFile	OpenFileIntent
FilesIntent	renameFile	RenameFileIntent
JournalEntity	entry	JournalEntity
JournalIntent	createAudioEntry	CreateJournalAudioEntryIntent
JournalIntent	createEntry	CreateJournalEntryIntent
JournalIntent	deleteEntry	DeleteJournalEntryIntent
JournalIntent	search	SearchJournalEntriesIntent
JournalIntent	updateEntry	UpdateJournalEntryIntent
MailEntity	account	MailAccountEntity
MailEntity	draft	MailDraftEntity
MailEntity	mailbox	MailboxEntity
MailEntity	message	MailMessageEntity
MailIntent	archiveMail	ArchiveMailIntent
MailIntent	createDraft	CreateDraftIntent
MailIntent	deleteDraft	DeleteDraftIntent
MailIntent	deleteMail	DeleteMailIntent
MailIntent	forwardMail	ForwardMailIntent
MailIntent	replyMail	ReplyMailIntent
MailIntent	saveDraft	SaveDraftIntent
MailIntent	sendDraft	SendDraftIntent
MailIntent	updateDraft	UpdateDraftIntent
MailIntent	updateMail	UpdateMailIntent
PhotosEntity	album	PhotoAlbumEntity
PhotosEntity	asset	PhotoEntity
PhotosEntity	recognizedPerson	PhotoPersonEntity
PhotosEnum	albumType	PhotoAlbumType
PhotosEnum	assetType	PhotoAssetType
PhotosEnum	filterType	PhotoFilterEffectType
PhotosEnum	rotationDirection	PhotoRotationDirection
PhotosIntent	addAssetsToAlbum	AddMediaAssetsToAlbumIntent
PhotosIntent	cleanupPhoto	CleanupMediaIntent
PhotosIntent	copyEdits	CopyMediaEditsIntent
PhotosIntent	createAlbum	CreateMediaAlbumIntent
PhotosIntent	createAssets	CreateMediaAssetsIntent
PhotosIntent	crop	CropMediaIntent
PhotosIntent	deleteAlbum	DeleteMediaAlbumIntent
